192.168.68.54 - Skylark9704 [28/Apr/2024:03:05:12 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
45.227.254.49 - - [28/Apr/2024:04:26:30 +0000] "\x03\x00\x00/*\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Administr" 400 150 "-" "-"
92.118.39.244 - - [28/Apr/2024:09:30:40 +0000] "GET / HTTP/1.0" 302 0 "-" "SonyEricssonW950i/R100 Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; 323) Opera 8.60 [en-US]"
192.168.68.54 - Skylark9704 [28/Apr/2024:12:36:43 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
192.168.68.54 - Skylark9704 [28/Apr/2024:14:04:23 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
185.122.204.179 - - [28/Apr/2024:15:28:19 +0000] "\x03\x00\x00/*\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Administr" 400 150 "-" "-"
192.168.68.54 - Skylark9704 [28/Apr/2024:16:08:40 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
192.168.68.54 - Skylark9704 [28/Apr/2024:17:05:27 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
192.168.68.54 - Skylark9704 [28/Apr/2024:18:35:56 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
192.168.68.54 - Skylark9704 [28/Apr/2024:19:11:03 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
34.219.20.47 - - [29/Apr/2024:00:08:03 +0000] "GET / HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15"
192.168.68.54 - Skylark9704 [29/Apr/2024:02:56:33 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
192.168.68.54 - Skylark9704 [29/Apr/2024:12:17:05 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
192.168.68.54 - Skylark9704 [29/Apr/2024:12:34:34 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
192.168.68.54 - Skylark9704 [29/Apr/2024:16:05:39 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
104.166.80.115 - - [29/Apr/2024:20:18:08 +0000] "GET / HTTP/1.0" 302 0 "-" "Mozilla/5.0 (X11; Linux i686; rv:109.0) Gecko/20100101 Firefox/120.0"
104.166.80.115 - - [29/Apr/2024:20:18:08 +0000] "GET /login HTTP/1.0" 200 5784 "-" "Mozilla/5.0 (X11; Linux i686; rv:109.0) Gecko/20100101 Firefox/120.0"
192.168.68.54 - Skylark9704 [30/Apr/2024:02:03:05 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
192.168.68.54 - Skylark9704 [30/Apr/2024:02:33:12 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
192.168.68.54 - Skylark9704 [30/Apr/2024:03:03:40 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
192.168.68.54 - Skylark9704 [30/Apr/2024:04:33:04 +0000] "PROPFIND /remote.php/dav/files/Skylark9704 HTTP/2.0" 207 788 "-" "Mozilla/5.0 (iOS) Nextcloud-iOS/5.2.7"
